2026-03-18 00:32:11 | INFO | SHUTDOWN | KeyboardInterrupt received
2026-03-18 00:32:11 | INFO | MT5_DISCONNECT | Disconnected from MT5
2026-03-18 00:32:11 | INFO | SHUTDOWN | Live loop ended
2026-03-18 00:32:29 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-18 00:32:29 | INFO | LOOP_START | Iteration 1
2026-03-18 00:32:41 | INFO | REGIME_CHANGE | [M1] sbar None → 1.328
2026-03-18 00:32:42 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:33:02 | INFO | LOOP_START | Iteration 2
2026-03-18 00:33:23 | INFO | LOOP_START | Iteration 3
2026-03-18 00:33:45 | INFO | LOOP_START | Iteration 4
2026-03-18 00:34:07 | INFO | LOOP_START | Iteration 5
2026-03-18 00:34:29 | INFO | LOOP_START | Iteration 6
2026-03-18 00:34:51 | INFO | LOOP_START | Iteration 7
2026-03-18 00:35:13 | INFO | LOOP_START | Iteration 8
2026-03-18 00:35:36 | INFO | LOOP_START | Iteration 9
2026-03-18 00:35:59 | INFO | LOOP_START | Iteration 10
2026-03-18 00:36:01 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:36:21 | INFO | LOOP_START | Iteration 11
2026-03-18 00:36:44 | INFO | LOOP_START | Iteration 12
2026-03-18 00:37:07 | INFO | LOOP_START | Iteration 13
2026-03-18 00:37:29 | INFO | LOOP_START | Iteration 14
2026-03-18 00:37:51 | INFO | LOOP_START | Iteration 15
2026-03-18 00:38:13 | INFO | LOOP_START | Iteration 16
2026-03-18 00:38:35 | INFO | LOOP_START | Iteration 17
2026-03-18 00:38:57 | INFO | LOOP_START | Iteration 18
2026-03-18 00:39:18 | INFO | LOOP_START | Iteration 19
2026-03-18 00:39:40 | INFO | LOOP_START | Iteration 20
2026-03-18 00:39:42 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:40:02 | INFO | LOOP_START | Iteration 21
2026-03-18 00:40:24 | INFO | LOOP_START | Iteration 22
2026-03-18 00:40:45 | INFO | LOOP_START | Iteration 23
2026-03-18 00:41:07 | INFO | LOOP_START | Iteration 24
2026-03-18 00:41:29 | INFO | LOOP_START | Iteration 25
2026-03-18 00:41:51 | INFO | LOOP_START | Iteration 26
2026-03-18 00:42:13 | INFO | LOOP_START | Iteration 27
2026-03-18 00:42:34 | INFO | LOOP_START | Iteration 28
2026-03-18 00:42:56 | INFO | LOOP_START | Iteration 29
2026-03-18 00:43:04 | INFO | SHUTDOWN | KeyboardInterrupt received
2026-03-18 00:43:04 | INFO | MT5_DISCONNECT | Disconnected from MT5
2026-03-18 00:43:04 | INFO | SHUTDOWN | Live loop ended
2026-03-18 00:43:25 | INFO | MT5_CONNECT | Connected to VantageInternational-Demo
2026-03-18 00:43:25 | INFO | LOOP_START | Iteration 1
2026-03-18 00:43:37 | INFO | REGIME_CHANGE | [M1] sbar None → 1.236
2026-03-18 00:43:37 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:43:37 | INFO | POSITION_CREATED | SHORT @ 5002.36  SL=5006.36  TP=4996.86  signal=strong regime short μ=-0.151
2026-03-18 00:43:37 | INFO | TRADE_OPENED | [M1] SHORT  @ 5002.36  reason=strong regime short μ=-0.151
2026-03-18 00:43:38 | INFO | LOOP_START | Iteration 2
2026-03-18 00:43:41 | INFO | LOOP_START | Iteration 3
2026-03-18 00:43:44 | INFO | LOOP_START | Iteration 4
2026-03-18 00:43:46 | INFO | LOOP_START | Iteration 5
2026-03-18 00:43:49 | INFO | LOOP_START | Iteration 6
2026-03-18 00:43:52 | INFO | LOOP_START | Iteration 7
2026-03-18 00:43:56 | INFO | LOOP_START | Iteration 8
2026-03-18 00:43:59 | INFO | LOOP_START | Iteration 9
2026-03-18 00:44:03 | INFO | LOOP_START | Iteration 10
2026-03-18 00:44:04 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:44:05 | INFO | LOOP_START | Iteration 11
2026-03-18 00:44:08 | INFO | LOOP_START | Iteration 12
2026-03-18 00:44:12 | INFO | LOOP_START | Iteration 13
2026-03-18 00:44:16 | INFO | LOOP_START | Iteration 14
2026-03-18 00:44:19 | INFO | LOOP_START | Iteration 15
2026-03-18 00:44:23 | INFO | LOOP_START | Iteration 16
2026-03-18 00:44:25 | INFO | LOOP_START | Iteration 17
2026-03-18 00:44:28 | INFO | LOOP_START | Iteration 18
2026-03-18 00:44:31 | INFO | LOOP_START | Iteration 19
2026-03-18 00:44:33 | INFO | LOOP_START | Iteration 20
2026-03-18 00:44:35 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:44:36 | INFO | LOOP_START | Iteration 21
2026-03-18 00:44:39 | INFO | LOOP_START | Iteration 22
2026-03-18 00:44:42 | INFO | LOOP_START | Iteration 23
2026-03-18 00:44:44 | INFO | LOOP_START | Iteration 24
2026-03-18 00:44:47 | INFO | LOOP_START | Iteration 25
2026-03-18 00:44:50 | INFO | LOOP_START | Iteration 26
2026-03-18 00:44:54 | INFO | LOOP_START | Iteration 27
2026-03-18 00:44:57 | INFO | LOOP_START | Iteration 28
2026-03-18 00:45:00 | INFO | LOOP_START | Iteration 29
2026-03-18 00:45:04 | INFO | LOOP_START | Iteration 30
2026-03-18 00:45:06 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:45:07 | INFO | LOOP_START | Iteration 31
2026-03-18 00:45:11 | INFO | LOOP_START | Iteration 32
2026-03-18 00:45:15 | INFO | LOOP_START | Iteration 33
2026-03-18 00:45:18 | INFO | LOOP_START | Iteration 34
2026-03-18 00:45:22 | INFO | LOOP_START | Iteration 35
2026-03-18 00:45:26 | INFO | LOOP_START | Iteration 36
2026-03-18 00:45:29 | INFO | LOOP_START | Iteration 37
2026-03-18 00:45:33 | INFO | LOOP_START | Iteration 38
2026-03-18 00:45:37 | INFO | LOOP_START | Iteration 39
2026-03-18 00:45:40 | INFO | LOOP_START | Iteration 40
2026-03-18 00:45:43 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:45:44 | INFO | LOOP_START | Iteration 41
2026-03-18 00:45:48 | INFO | LOOP_START | Iteration 42
2026-03-18 00:45:51 | INFO | LOOP_START | Iteration 43
2026-03-18 00:45:55 | INFO | LOOP_START | Iteration 44
2026-03-18 00:46:00 | INFO | LOOP_START | Iteration 45
2026-03-18 00:46:04 | INFO | LOOP_START | Iteration 46
2026-03-18 00:46:07 | INFO | LOOP_START | Iteration 47
2026-03-18 00:46:11 | INFO | LOOP_START | Iteration 48
2026-03-18 00:46:15 | INFO | LOOP_START | Iteration 49
2026-03-18 00:46:18 | INFO | LOOP_START | Iteration 50
2026-03-18 00:46:21 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:46:22 | INFO | LOOP_START | Iteration 51
2026-03-18 00:46:26 | INFO | LOOP_START | Iteration 52
2026-03-18 00:46:30 | INFO | LOOP_START | Iteration 53
2026-03-18 00:46:33 | INFO | LOOP_START | Iteration 54
2026-03-18 00:46:37 | INFO | LOOP_START | Iteration 55
2026-03-18 00:46:41 | INFO | LOOP_START | Iteration 56
2026-03-18 00:46:45 | INFO | LOOP_START | Iteration 57
2026-03-18 00:46:48 | INFO | LOOP_START | Iteration 58
2026-03-18 00:46:52 | INFO | LOOP_START | Iteration 59
2026-03-18 00:46:56 | INFO | LOOP_START | Iteration 60
2026-03-18 00:46:59 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:47:00 | INFO | LOOP_START | Iteration 61
2026-03-18 00:47:03 | INFO | LOOP_START | Iteration 62
2026-03-18 00:47:07 | INFO | LOOP_START | Iteration 63
2026-03-18 00:47:11 | INFO | LOOP_START | Iteration 64
2026-03-18 00:47:15 | INFO | LOOP_START | Iteration 65
2026-03-18 00:47:19 | INFO | LOOP_START | Iteration 66
2026-03-18 00:47:22 | INFO | LOOP_START | Iteration 67
2026-03-18 00:47:26 | INFO | LOOP_START | Iteration 68
2026-03-18 00:47:30 | INFO | LOOP_START | Iteration 69
2026-03-18 00:47:34 | INFO | LOOP_START | Iteration 70
