2026-02-27 00:17:26 | INFO | RISK | 2026-02-27 00:17:26.022730 | Score: 45.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $48.24
2026-02-27 00:17:26 | INFO | RISK | 2026-02-27 00:17:26.091369 | Score: 34.5 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $61.25
2026-02-27 00:17:26 | INFO | RISK | 2026-02-27 00:17:26.135220 | Score: 42.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $68.85
2026-02-27 00:17:26 | INFO | RISK | 2026-02-27 00:17:26.206984 | Score: 39.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $81.14
2026-02-27 00:17:26 | INFO | RISK | 2026-02-27 00:17:26.496556 | Score: 37.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $82.96
2026-02-27 00:17:26 | INFO | RISK | 2026-02-27 00:17:26.628389 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $90.63
2026-02-27 00:17:26 | INFO | RISK | 2026-02-27 00:17:26.833608 | Score: 39.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $91.16
2026-02-27 00:17:26 | INFO | RISK | 2026-02-27 00:17:26.897721 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $118.17
2026-02-27 00:17:27 | INFO | RISK | 2026-02-27 00:17:27.203298 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $119.34
2026-02-27 00:17:27 | INFO | RISK | 2026-02-27 00:17:27.473922 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $192.92
2026-02-27 00:17:27 | INFO | RISK | 2026-02-27 00:17:27.603919 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $188.99
2026-02-27 00:17:28 | INFO | RISK | 2026-02-27 00:17:28.211107 | Score: 37.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $156.11
2026-02-27 00:17:28 | INFO | RISK | 2026-02-27 00:17:28.482043 | Score: 39.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $102.14
