Epoch 22: Steps=95, Rewards={'agent1': 3.454172957500167, 'agent2': 2.3281519672415145, 'agent3': 2.4903512775033785, 'agent4': 3.2029383622221057, 'agent5': 2.7153875181699827, 'agent6': 2.658244819876341, 'agent7': 4.369459877942106, 'agent8': 2.7903855488451126, 'agent9': 3.203903221534435, 'agent10': 2.5414080176510097}, Losses={'agent1': 0.4517703, 'agent2': 0.46809548, 'agent3': 0.50785714, 'agent4': 0.4827698, 'agent5': 0.45895842, 'agent6': 0.47496837, 'agent7': 0.47812712, 'agent8': 0.47833133, 'agent9': 0.4574483, 'agent10': 0.48993585}
Epoch 23: Steps=73, Rewards={'agent1': 3.494686072750809, 'agent2': 4.6275430543781, 'agent3': 3.538355176583871, 'agent4': 3.4327186261095446, 'agent5': 3.015550722660713, 'agent6': 3.7782537622601144, 'agent7': 3.951737280523582, 'agent8': 3.7391878899682833, 'agent9': 3.2506136453013195, 'agent10': 3.5627310368938354}, Losses={'agent1': 0.40580612, 'agent2': 0.37538677, 'agent3': 0.45533997, 'agent4': 0.36443838, 'agent5': 0.4667984, 'agent6': 0.4394212, 'agent7': 0.4145532, 'agent8': 0.47241804, 'agent9': 0.41157955, 'agent10': 0.39175284}
Epoch 24: Steps=113, Rewards={'agent1': 2.081552941008424, 'agent2': 2.1732157736197246, 'agent3': 2.760901809153065, 'agent4': 2.033702145267027, 'agent5': 3.2214674570429445, 'agent6': 2.6380096880864587, 'agent7': 2.0516178497518758, 'agent8': 3.870766164813147, 'agent9': 2.580768344754781, 'agent10': 3.7103279274997205}, Losses={'agent1': 0.4042525, 'agent2': 0.37501118, 'agent3': 0.36019158, 'agent4': 0.3907553, 'agent5': 0.3503755, 'agent6': 0.37093732, 'agent7': 0.42077276, 'agent8': 0.35871854, 'agent9': 0.373326, 'agent10': 0.38790175}
Epoch 25: Steps=101, Rewards={'agent1': 3.190614613658726, 'agent2': 2.7237256297610872, 'agent3': 2.7080749061699794, 'agent4': 3.06924697199727, 'agent5': 2.12795668695413, 'agent6': 2.1539581409431685, 'agent7': 2.9676175955822788, 'agent8': 3.0427499114465877, 'agent9': 2.87102044023715, 'agent10': 4.3148244295863165}, Losses={'agent1': 0.3308317, 'agent2': 0.33519325, 'agent3': 0.32818335, 'agent4': 0.3425744, 'agent5': 0.36210063, 'agent6': 0.34356707, 'agent7': 0.38111207, 'agent8': 0.33162147, 'agent9': 0.34209114, 'agent10': 0.3359608}
Epoch 26: Steps=107, Rewards={'agent1': 2.1831878642424436, 'agent2': 3.1975217756447547, 'agent3': 4.36243538884988, 'agent4': 3.052834360004061, 'agent5': 2.9219224385883074, 'agent6': 2.374899246990456, 'agent7': 3.6935604291694517, 'agent8': 2.6835194555973554, 'agent9': 2.701878441622585, 'agent10': 2.5821303326201237}, Losses={'agent1': 0.3342925, 'agent2': 0.36342886, 'agent3': 0.3234127, 'agent4': 0.32957146, 'agent5': 0.29817164, 'agent6': 0.34463033, 'agent7': 0.31536415, 'agent8': 0.3577827, 'agent9': 0.30467895, 'agent10': 0.29731566}
Epoch 27: Steps=84, Rewards={'agent1': 3.2225942718966745, 'agent2': 2.928843428644722, 'agent3': 2.573878619969205, 'agent4': 2.8008229398799975, 'agent5': 3.5715068927026503, 'agent6': 3.419657977938729, 'agent7': 2.6168792956412896, 'agent8': 4.200745540289475, 'agent9': 2.78373767580658, 'agent10': 3.0072584144874703}, Losses={'agent1': 0.30303454, 'agent2': 0.31011087, 'agent3': 0.32747483, 'agent4': 0.29072735, 'agent5': 0.3332006, 'agent6': 0.31244344, 'agent7': 0.31767645, 'agent8': 0.3327761, 'agent9': 0.3293292, 'agent10': 0.3392332}
Epoch 28: Steps=76, Rewards={'agent1': 3.0788974587524187, 'agent2': 3.6156342355732414, 'agent3': 2.7464868915590244, 'agent4': 2.877493103605522, 'agent5': 3.3352229853607516, 'agent6': 3.1189484335279705, 'agent7': 4.543520423664317, 'agent8': 3.0986574952268544, 'agent9': 3.472376877641498, 'agent10': 3.8721161521271155}, Losses={'agent1': 0.31341434, 'agent2': 0.34858066, 'agent3': 0.33864865, 'agent4': 0.30850846, 'agent5': 0.38418987, 'agent6': 0.33397332, 'agent7': 0.31247064, 'agent8': 0.30871502, 'agent9': 0.2977347, 'agent10': 0.27733144}
Epoch 29: Steps=96, Rewards={'agent1': 4.132570241815956, 'agent2': 1.9959420942074424, 'agent3': 2.8747962933178624, 'agent4': 2.3595960425136773, 'agent5': 3.296729291411593, 'agent6': 3.535769259471531, 'agent7': 2.774992842496278, 'agent8': 2.061375419006812, 'agent9': 4.2894543039142725, 'agent10': 3.45043614505585}, Losses={'agent1': 0.35603026, 'agent2': 0.3614974, 'agent3': 0.36179507, 'agent4': 0.30692735, 'agent5': 0.34291795, 'agent6': 0.3156464, 'agent7': 0.35108814, 'agent8': 0.2818223, 'agent9': 0.32825345, 'agent10': 0.3701757}
Epoch 30: Steps=89, Rewards={'agent1': 2.8935018489199233, 'agent2': 3.2677615544126866, 'agent3': 2.277262048758607, 'agent4': 2.4246781344660557, 'agent5': 3.2280655122221655, 'agent6': 3.5246676516830404, 'agent7': 2.5941999518599563, 'agent8': 3.7188357465684505, 'agent9': 3.0249363439210897, 'agent10': 3.834607917182777}, Losses={'agent1': 0.39444917, 'agent2': 0.29658443, 'agent3': 0.3203829, 'agent4': 0.28357, 'agent5': 0.37701064, 'agent6': 0.32662988, 'agent7': 0.36347008, 'agent8': 0.3346063, 'agent9': 0.32455826, 'agent10': 0.32845506}
Epoch 31: Steps=74, Rewards={'agent1': 3.6468391739702484, 'agent2': 3.926756925863734, 'agent3': 3.3101927892638114, 'agent4': 2.717017501643827, 'agent5': 3.5425324217878553, 'agent6': 3.697886892601936, 'agent7': 3.466649090803568, 'agent8': 3.4851590623861224, 'agent9': 4.480597943902021, 'agent10': 3.4538243727720257}, Losses={'agent1': 0.3621228, 'agent2': 0.31577206, 'agent3': 0.35654277, 'agent4': 0.40283436, 'agent5': 0.35417107, 'agent6': 0.30785918, 'agent7': 0.36499503, 'agent8': 0.29836068, 'agent9': 0.3258032, 'agent10': 0.33801687}
